prefecture_code,prefecture_name,prefecture_type,prefecture_name_kana,prefecture_name_kana_large,prefecture_name_roman_full,prefecture_name_roman
01,北海道,道,ホッカイドウ,ホツカイドウ,Hokkaido,Hokkaido
02,青森県,県,アオモリケン,アオモリケン,Aomori Ken,Aomori
03,岩手県,県,イワテケン,イワテケン,Iwate Ken,Iwate
04,宮城県,県,ミヤギケン,ミヤギケン,Miyagi Ken,Miyagi
05,秋田県,県,アキタケン,アキタケン,Akita Ken,Akita
06,山形県,県,ヤマガタケン,ヤマガタケン,Yamagata Ken,Yamagata
07,福島県,県,フクシマケン,フクシマケン,Fukushima Ken,Fukushima
08,茨城県,県,イバラキケン,イバラキケン,Ibaraki Ken,Ibaraki
09,栃木県,県,トチギケン,トチギケン,Tochigi Ken,Tochigi
10,群馬県,県,グンマケン,グンマケン,Gumma Ken,Gumma
11,埼玉県,県,サイタマケン,サイタマケン,Saitama Ken,Saitama
12,千葉県,県,チバケン,チバケン,Chiba Ken,Chiba
13,東京都,都,トウキョウト,トウキヨウト,Tokyo To,Tokyo
14,神奈川県,県,カナガワケン,カナガワケン,Kanagawa Ken,Kanagawa
15,新潟県,県,ニイガタケン,ニイガタケン,Niigata Ken,Niigata
16,富山県,県,トヤマケン,トヤマケン,Toyama Ken,Toyama
17,石川県,県,イシカワケン,イシカワケン,Ishikawa Ken,Ishikawa
18,福井県,県,フクイケン,フクイケン,Fukui Ken,Fukui
19,山梨県,県,ヤマナシケン,ヤマナシケン,Yamanashi Ken,Yamanashi
20,長野県,県,ナガノケン,ナガノケン,Nagano Ken,Nagano
21,岐阜県,県,ギフケン,ギフケン,Gifu Ken,Gifu
22,静岡県,県,シズオカケン,シズオカケン,Shizuoka Ken,Shizuoka
23,愛知県,県,アイチケン,アイチケン,Aichi Ken,Aichi
24,三重県,県,ミエケン,ミエケン,Mie Ken,Mie
25,滋賀県,県,シガケン,シガケン,Shiga Ken,Shiga
26,京都府,府,キョウトフ,キヨウトフ,Kyoto Fu,Kyoto
27,大阪府,府,オオサカフ,オオサカフ,Osaka Fu,Osaka
28,兵庫県,県,ヒョウゴケン,ヒヨウゴケン,Hyogo Ken,Hyogo
29,奈良県,県,ナラケン,ナラケン,Nara Ken,Nara
30,和歌山県,県,ワカヤマケン,ワカヤマケン,Wakayama Ken,Wakayama
31,鳥取県,県,トットリケン,トツトリケン,Tottori Ken,Tottori
32,島根県,県,シマネケン,シマネケン,Shimane Ken,Shimane
33,岡山県,県,オカヤマケン,オカヤマケン,Okayama Ken,Okayama
34,広島県,県,ヒロシマケン,ヒロシマケン,Hiroshima Ken,Hiroshima
35,山口県,県,ヤマグチケン,ヤマグチケン,Yamaguchi Ken,Yamaguchi
36,徳島県,県,トクシマケン,トクシマケン,Tokushima Ken,Tokushima
37,香川県,県,カガワケン,カガワケン,Kagawa Ken,Kagawa
38,愛媛県,県,エヒメケン,エヒメケン,Ehime Ken,Ehime
39,高知県,県,コウチケン,コウチケン,Kochi Ken,Kochi
40,福岡県,県,フクオカケン,フクオカケン,Fukuoka Ken,Fukuoka
41,佐賀県,県,サガケン,サガケン,Saga Ken,Saga
42,長崎県,県,ナガサキケン,ナガサキケン,Nagasaki Ken,Nagasaki
43,熊本県,県,クマモトケン,クマモトケン,Kumamoto Ken,Kumamoto
44,大分県,県,オオイタケン,オオイタケン,Oita Ken,Oita
45,宮崎県,県,ミヤザキケン,ミヤザキケン,Miyazaki Ken,Miyazaki
46,鹿児島県,県,カゴシマケン,カゴシマケン,Kagoshima Ken,Kagoshima
47,沖縄県,県,オキナワケン,オキナワケン,Okinawa Ken,Okinawa
